Rule,Unique Hash Count,Hashes
csharp-sqli,3,6593a1e806e7eb6f328b9e3ab847a019;c47de9ffd8992172bb4da7f00e79ef10;e9bd2034a846c0463880ce7380fee94d
jdbc-sqli,4,898a914a7ab92fb28d46216ca359a861;caa2bcabe57588fd16261169149f8087;10a1b82752ca064c385bbb8f17ade3bc;c8e03d074de50b384dc8ed91a91adecb
tainted-sql-string,11,b4064759ba3f651c0dc7143c88d20907;325a9f90cf89c970d1ade356e93a4152;b2c90351894048e465e17770de195190;05ee4f109a2a818d9ee9d3446787b23d;07ec9514baa959d7cdc273552e787175;46046cfe0eb4a0af83c9078248ad61b5;f00482f9383dac1f106172875589f879;25e10599575b5759a17118ed5ab90585;e564dc2b54b976c916151adbd65c2c5e;0f7431549ab2973a614ff16bba19c384;74577c32164a555f5cc9dbc385588744
sqlalchemy-execute-raw-query,42,1486873c00ebf5938f81ec270e260240;741383457f41e8120b82c821fd664688;6dba242213447a9249e59c2e422acaf7;6069de427c584982b27e0fae403c24bd;bb1a4595cb2de4c7b3efb2c30e0ee1f3;29815453ef2d227b0203da6d3d190486;db2ca7cbd89e32a8f42328507a8d0da8;82f1b88b5aaa6cf806f1d3c6ff453518;5ebd864ba99b423db7dfef029d970f45;abfa5b20c998aefaf5b1a1eff5296842;957efbd47267aecdefcd5e40d9cde591;393347c92d00af56cd92b73dbc50e855;e564dc2b54b976c916151adbd65c2c5e;bd78a42dd547e35f2bec083f68409671;972ff3cc73a4023df49c3e1ea8d86152;5d91c3564b992f0d3b3116e5a5827a9b;ab62c5a23c94a006a82a019a89bc0c10;efa416c1f380f0b2d02026827878a717;0c1b4a1af42f87b56fe123df9c60bed0;07ec9514baa959d7cdc273552e787175;bbf512a7f28b0512874ea51ddd8419ee;3a1a571990569a2395bf393a3e7d2605;fe6b805e656737664d1f4960ca71b2b0;e8c10c75f593e27c6fdbbd305461c4d8;a5ff8610389f207c439a8b4fa42fcc98;2383f820b484d0dcc2db4d2deec7238d;22a69acc6a4e6791a0780286f6f32dec;67b3060f6691a7aea47084b382dabb85;7ee9a75c75d301eb99e37180ce6b5e9a;dd3d069706ed055402499e7bd1ff8d9c;530dfd8681be129ff0a976f3799f5206;5e8a4e85defea0ccc062ea5d27681ad3;b1ac3ea82e8247486a00bf6ec473d5ae;c548ac13e23270a51a569e59daf66a31;57fe6249ed72790485402fc3a8a664eb;dc8f8bf9d45a98e1b3aa3f57c5c05bab;f83a12316d101c268486ec2cf7e20656;1cfee6818606d41b2402f40d538c8a15;e9a40c400b97a21a950b8f59bf1380e9;535fb88098355b301d74279471380175;7b605c6091eda5e335ae78a0dc88d7a1;b541bfb0344fb22647fc007531a70656
psycopg-sqli,5,1486873c00ebf5938f81ec270e260240;29815453ef2d227b0203da6d3d190486;dd3d069706ed055402499e7bd1ff8d9c;7ee9a75c75d301eb99e37180ce6b5e9a;3a1a571990569a2395bf393a3e7d2605
sql-injection-db-cursor-execute,3,e564dc2b54b976c916151adbd65c2c5e;75011c33d1e621510c48e5d80b1cdc00;aac208f8923bf71e7ab49de642e84d56
avoid-sqlalchemy-text,2,dd0b65ad526095dd611a99289c3d1fa4;b1ac3ea82e8247486a00bf6ec473d5ae
