Rule,Unique Hash Count,Hashes
documentbuilderfactory-disallow-doctype-decl-missing,3,36e28a5e1605c5f94269aad99417b6d1;84c8dbf33ace65b81b2a95aea9e04ff4;06ac3ad39fc850bcfabe99e11829f561
object-deserialization,21,f3f47eb35ecbfdf1a6de0db230e37585;0ccadd1792935c44bb017bdd0c8a18e4;2a180bef54f919faa69b2ed07ce4a67c;7dcaa342a190b35552a6bc444666f0e3;7e334b9a448147aafe67b16bbcd3c201;eb1fbe19065814c8f4da8857c7751d1d;1e86dd4286af623fb28eeff533bdebdc;99ad7378ec4267576aa2592938a01760;c7acdfd10c2290a9ada3f50e1a6c642c;a97d42b64be9a5fc3e9ed0cfb0624bca;8136fda6374b8b7211623a16dabf0ac4;74664080e87465acfb2dca20355eaf1c;b2a3a8b5f91441afd03df1910a853550;081f0d0b9bdfc78dfb41a29f81ff36a7;b09916f177a4de2c32a0c2b2a5f24294;78951f2f539ea903b136a36d7616b368;8d8750ee30bea85a7bf976aa8c900fb0;d24ac928749b633363fb7600af76ad84;f81c291e5708d17a4ec5f2a33ed00274;ac08316b54e604412d56ddaf99cceba3;b4795a02dec5a1d1a7f49d5c2bad907a
transformerfactory-dtds-not-disabled,1,36e28a5e1605c5f94269aad99417b6d1
saxparserfactory-disallow-doctype-decl-missing,5,9042a9055ebe4eb4f2aecbcdfa569777;e72c53e0a097e887f931e0ad961cc3c0;48d4aa5a6c453317f4abe041b4460ff0;f47c058f6a49ba493643d81b94011f4f;f2fe009c4134926a654d455645a00dda
use-snakeyaml-constructor,1,b1db43786526b92ad04eca238020f8ef
grpc-nodejs-insecure-connection,7,8e58c8b988a517bb2c9a3a408996f5fb;922db4f0be132a4317537bb3ea715f9b;84499bdf3f9a17c0bd2ba46ef07fd905;e64f3226cfe2a9a733b98b3648c916b9;6cf73a49c5191b7717df0a705dc35997;9022d1a35906d94c70eaa691bc471702;3579f7ec5293c82c4cb65e5910acd1d0
marshal-usage,2,5925233f90db7c093d7c9f9424b08fc0;382d3be09f18d02be2d7b6c0d4783610
